@relation 'MARSYAS_EMPTYhectorDataset.arff-weka.filters.unsupervised.attribute.Remove-R1,3-5,8-9,17-29,31,33-35,37-60,63,66-76,78-94,96-97,99-124'

@attribute Mean_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC1_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC2_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Mean_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_ZeroCrossings_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Average_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Mean_Acc5_Std_Mem20_PeakRatio_Minimum_Chroma_A_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_Rolloff_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Mean_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_Centroid_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute Std_Acc5_Std_Mem20_MFCC0_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 numeric
@attribute output {0,1,2}

@data
0.017606,7.087299,0.525502,0.303111,-0.095048,-0.142118,-0.202116,0.367226,0.531816,0.093066,1.300696,0.016427,3.518019,0.100117,0.337975,0.003576,0.010179,0.066148,0.004153,1.761805,0
0.021378,7.404316,0.560762,0.270999,-0.486693,-0.49033,-0.0103,0.36812,0.154208,-0.400415,1.404365,0.007026,3.391451,0.10319,0.644755,0.004417,0.009149,0.24014,0.003721,1.646407,0
0.017203,6.436294,0.499166,0.583709,0.073536,0.142643,0.018613,0.435198,0.499327,0.448839,1.320352,0.009325,3.645646,0.067926,0.242673,0.003271,0.012376,0.143243,0.003728,1.906318,0
0.015027,6.638333,0.57898,0.675508,0.057541,-0.008028,-0.054616,0.205698,0.424866,0.466541,1.334103,0.005533,3.913336,0.086919,0.317478,0.002194,0.005845,0.144843,0.004255,1.907142,0
0.016443,6.853564,0.403132,0.591567,-0.227232,-0.215518,0.36351,1.180137,0.874597,-0.09596,1.221412,0.007274,3.935968,0.06198,0.169839,0.003145,0.01009,0.105439,0.004099,1.936921,0
0.015816,5.981984,0.614368,0.49747,0.298006,0.444584,0.398429,0.578604,0.477907,0.166924,1.247447,0.011292,4.003993,0.067376,0.210674,0.002524,0.011253,0.246731,0.003937,2.009133,0
0.014512,7.510706,0.176217,0.347011,0.356377,0.116728,0.173378,0.774155,0.773997,0.405156,1.277107,0.003542,3.635186,0.070908,0.214554,0.002628,0.008898,0.237646,0.004149,1.720173,0
0.017664,5.837216,0.880839,0.984625,0.253573,0.131818,0.241789,0.529193,0.559762,0.255452,1.262484,0.013167,3.845644,0.065656,0.211083,0.002952,0.010456,0.025306,0.003855,1.949768,0
0.024307,5.434319,0.595612,0.599544,0.271575,0.085633,0.528037,0.694919,0.660002,-0.179378,1.243643,0.017798,4.686018,0.084338,0.247874,0.004234,0.011643,0.268534,0.005624,2.112849,0
0.014994,6.656571,0.368205,0.49249,0.223118,0.480149,0.633351,0.655023,0.471655,-0.023796,1.224238,0.021904,4.502988,0.076394,0.23372,0.00142,0.004088,0.319024,0.004184,2.070292,0
0.0195,5.285391,1.19511,0.034318,-0.172984,0.671503,0.699731,0.949322,0.597845,-0.220026,1.227706,0.010818,4.462559,0.071024,0.263507,0.002734,0.006665,0.239078,0.003987,2.148804,0
0.017967,6.046616,0.295303,0.975164,0.004431,0.470949,0.867114,0.641165,0.464997,0.008806,1.232654,0.012241,4.336235,0.062479,0.196938,0.002638,0.010241,0.392778,0.004129,2.086136,0
0.015245,7.23555,0.28432,0.337266,0.054342,0.633323,0.526641,0.57969,0.311764,0.076656,1.234188,0.035827,4.72917,0.08939,0.239227,0.001464,0.005302,0.340275,0.0042,2.07887,0
0.018664,6.113337,0.305996,0.23967,-0.005256,0.343332,0.573364,0.918736,0.443819,-0.131748,1.230008,0.013429,5.451396,0.08546,0.238623,0.001021,0.00362,0.342738,0.004181,2.181178,0
